ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F139014FEA0D7C6634A62,2020-10-06 00:00:00,001,颗粒物,0.46,20,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F139014FEA0D7C6634A62,2020-10-06 00:00:00,002,二氧化硫,28.52,80,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F139014FEA0D7C6634A62,2020-10-06 00:00:00,003,氮氧化物,142.39,250,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F139014FEA0D7C6634A62,2020-10-06 00:00:00,004,一氧化碳,2.11,80,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F139014FEA0D7C6634A62,2020-10-06 00:00:00,008,氯化氢,26.78,50,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F1390EEB93C9FAD8AAE73,2020-10-06 00:00:00,001,颗粒物,12.95,20,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F1390EEB93C9FAD8AAE73,2020-10-06 00:00:00,002,二氧化硫,47.01,80,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F1390EEB93C9FAD8AAE73,2020-10-06 00:00:00,003,氮氧化物,152.73,250,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F1390EEB93C9FAD8AAE73,2020-10-06 00:00:00,004,一氧化碳,0.85,80,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
922BEDBE9E3F13904530B5B8AB23095B,922BEDBE9E3F1390EEB93C9FAD8AAE73,2020-10-06 00:00:00,008,氯化氢,16.26,50,,0,0,2020-10-07T10:29:58.183,2020-10-07T10:30:13.443,20201006
