ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2020-10-17 00:00:00,001,颗粒物,,20,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2020-10-17 00:00:00,002,二氧化硫,,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2020-10-17 00:00:00,003,氮氧化物,,250,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2020-10-17 00:00:00,004,一氧化碳,,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A46E236C89F4666E0,2020-10-17 00:00:00,008,氯化氢,,50,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2020-10-17 00:00:00,001,颗粒物,,20,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2020-10-17 00:00:00,002,二氧化硫,,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2020-10-17 00:00:00,003,氮氧化物,,250,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2020-10-17 00:00:00,004,一氧化碳,,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A28CE81E8B81BC5CF,2020-10-17 00:00:00,008,氯化氢,,50,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:36.703,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2020-10-17 00:00:00,001,颗粒物,2.64,20,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2020-10-17 00:00:00,002,二氧化硫,52.19,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2020-10-17 00:00:00,003,氮氧化物,210.3,250,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2020-10-17 00:00:00,004,一氧化碳,0.34,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0A8D6FA5FF17D0CBF9,2020-10-17 00:00:00,008,氯化氢,12.12,50,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2020-10-17 00:00:00,001,颗粒物,1.35,20,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2020-10-17 00:00:00,002,二氧化硫,46.61,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2020-10-17 00:00:00,003,氮氧化物,190.24,250,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2020-10-17 00:00:00,004,一氧化碳,0.31,80,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
957564E5509E9F0A1B80AAF24A0B0346,957564E5509E9F0AD4F296D2E670CB43,2020-10-17 00:00:00,008,氯化氢,17.03,50,,0,0,2020-10-18T09:22:36.703,2020-10-18T09:22:56.007,20201017
