ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683C0E26CE7BA69D439,2020-10-20 00:00:00,001,颗粒物,1.47,20,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683C0E26CE7BA69D439,2020-10-20 00:00:00,002,二氧化硫,1.06,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683C0E26CE7BA69D439,2020-10-20 00:00:00,003,氮氧化物,111.9,250,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683C0E26CE7BA69D439,2020-10-20 00:00:00,004,一氧化碳,1.04,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683C0E26CE7BA69D439,2020-10-20 00:00:00,008,氯化氢,2.96,50,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836768AE902B04A90E,2020-10-20 00:00:00,001,颗粒物,4.08,20,CEMS维护,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836768AE902B04A90E,2020-10-20 00:00:00,002,二氧化硫,2.61,80,CEMS维护,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836768AE902B04A90E,2020-10-20 00:00:00,003,氮氧化物,121.82,250,CEMS维护,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836768AE902B04A90E,2020-10-20 00:00:00,004,一氧化碳,1.89,80,CEMS维护,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836768AE902B04A90E,2020-10-20 00:00:00,008,氯化氢,3.44,50,CEMS维护,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683A11B0C56C477359E,2020-10-20 00:00:00,001,颗粒物,3.13,20,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683A11B0C56C477359E,2020-10-20 00:00:00,002,二氧化硫,6.07,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683A11B0C56C477359E,2020-10-20 00:00:00,003,氮氧化物,109.44,250,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683A11B0C56C477359E,2020-10-20 00:00:00,004,一氧化碳,5.32,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683A11B0C56C477359E,2020-10-20 00:00:00,008,氯化氢,4.2,50,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:35.157,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836A62118EED95D3EF,2020-10-20 00:00:00,001,颗粒物,2.93,20,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836A62118EED95D3EF,2020-10-20 00:00:00,002,二氧化硫,9.68,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836A62118EED95D3EF,2020-10-20 00:00:00,003,氮氧化物,121.72,250,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836A62118EED95D3EF,2020-10-20 00:00:00,004,一氧化碳,1.56,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896836A62118EED95D3EF,2020-10-20 00:00:00,008,氯化氢,3.87,50,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896834BF8D3802959056F,2020-10-20 00:00:00,001,颗粒物,3.13,20,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896834BF8D3802959056F,2020-10-20 00:00:00,002,二氧化硫,3.74,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896834BF8D3802959056F,2020-10-20 00:00:00,003,氮氧化物,118.93,250,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896834BF8D3802959056F,2020-10-20 00:00:00,004,一氧化碳,1.21,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B7896834BF8D3802959056F,2020-10-20 00:00:00,008,氯化氢,5.14,50,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683829CC9CDF717EBB7,2020-10-20 00:00:00,001,颗粒物,2.2,20,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683829CC9CDF717EBB7,2020-10-20 00:00:00,002,二氧化硫,8.77,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683829CC9CDF717EBB7,2020-10-20 00:00:00,003,氮氧化物,114.42,250,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683829CC9CDF717EBB7,2020-10-20 00:00:00,004,一氧化碳,0.83,80,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
1DCC00CE2B789683E9DFDAAF5570721B,1DCC00CE2B789683829CC9CDF717EBB7,2020-10-20 00:00:00,008,氯化氢,4.1,50,,0,0,2020-10-21T09:22:35.157,2020-10-21T09:22:40.94,20201020
