ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2020-10-19 00:00:00,001,颗粒物,2.61,20,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2020-10-19 00:00:00,002,二氧化硫,13.96,80,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2020-10-19 00:00:00,003,氮氧化物,149.91,250,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2020-10-19 00:00:00,004,一氧化碳,2.49,80,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6690335FF54F5021A,2020-10-19 00:00:00,008,氯化氢,4.78,50,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2020-10-19 00:00:00,001,颗粒物,2.64,20,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2020-10-19 00:00:00,002,二氧化硫,13.5,80,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2020-10-19 00:00:00,003,氮氧化物,158.43,250,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2020-10-19 00:00:00,004,一氧化碳,2.73,80,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
8609CB94471AA9B60106B24A66D158A3,8609CB94471AA9B6B26D5C6498C26F43,2020-10-19 00:00:00,008,氯化氢,9.95,50,,0,0,2020-10-20T09:26:04.927,2020-10-20T09:26:32.32,20201019
